company_name,job_description,position_title,description_length,model_response
Galls LLC,"branch retail associate  full time or part time

galls is looking for a retail sales associate  full time or part time columbus ohio

monday  friday daytime shifts

galls llc is the largest and fastest growing supplier of uniforms and equipment to public safety professionals with a national presence in more than  locations across the us galls llc is proud to serve americas public safety professionals by providing the broadest selection of uniforms equipment and solutions combined with great customer service galls provides detailed training on all of the processes needed to be successful in this role

galls llc offers many benefits to include

full benefit package including medicaldentalvision coverage ft only
life and disability insurance ft only
vacation and personal time
seven paid holidays
 plan with company match
day shifts only
employee discount
fun place to work with advancement opportunities

asa retail sales associatein a galls store you must provide exceptional customer service to our exceptional public safety professionals you will interact with our customers on the sales floor process sales assist with uniform sizing and help customers select the right products to meet their needs

what you will do

greet every customer in a timely manner with a smile and in quick response to their needs
replenish merchandise and monitor floor stock to ensure appropriate inventory is available and neatly presented
complete necessary housekeeping to present a clean and orderly store
provide sizing fittings and measuring for any customer alterations
communicate with branch operations sales and other corporate teams
commit to our companys proud to serve mission policies procedures and practices
other duties assigned as needed

what you will bring

previous retail andor customer service experience desired we will train in all the processes needed to be successful in this role
high school diploma or ged equivalent
friendly honest and dependable  you love to connect with people and build relationships
solid communication and interpersonal skills  you can develop relationships quickly
resourcefulness you may not always have the answers but you know where to find them
ability to operate point of sale systems willing and able to learn new programs
confident working with little to no supervision
ability to stand for extended periods of time operate all store equipment and lift up to  pounds with or without reasonable accommodation

what to send our way

your resume highlighting your education experience and skills

galls is an eeoaaminoritiesfemaledisabledveterans employer if you need accommodation for any part of the employment process because of a medical condition or disability please call human resources at with the nature of your accommodation request and include the galls location and the title of the job opening","Retail Sales Associate - Full Time or Part Time (Columbus, Ohio)",2854," {
  ""Core Responsibilities"": ""Provide exceptional customer service to public safety professionals. Interact with customers on sales floor, process sales, assist with uniform sizing, and help customers select right products. Replenish merchandise and monitor floor stock. Complete necessary housekeeping to present clean and orderly store. Provide sizing, fittings and measuring for customer alterations. Communicate with branch operations, sales and corporate teams. Commit to company's proud to serve mission, policies, procedures and practices."",
  ""Required Skills"": ""Previous retail and/or customer service experience desired. High school diploma or GED equivalent. Friendly, honest and dependable. Solid communication and interpersonal skills. Resourcefulness. Ability to operate POS systems and willing to learn new programs. Confident working with little supervision. Ability to stand for extended periods, operate store equipment, lift up to 50 lbs."",  
  ""Educational Requirements"": ""High school diploma or GED equivalent"",
  ""Experience Level"": ""N/A"",
  ""Preferred Qualifications"": ""Previous retail and/or customer service experience desired"",
  ""Compensation and Benefits"": ""Full benefit package including medical/dental/vision coverage (FT only). Life and disability insurance (FT only). Vacation and personal time. Seven paid holidays. 401k plan with company match. Day shifts only. Employee discount.""
}"
Old Navy,"about old navy

forget what you know about oldschool industry rules when you work at old navy youre choosing a different path from day one weve been on a mission to democratize fashion and make shopping fun again our teams make style accessible to everyone creating highquality musthave fashion essentials for the whole family with love season after season

we opened our first store in  in san francisco and have been on a roll ever since we cultivate a community of playful personalities that thrive in a fastpaced environment where our employees can be their most authentic selves here were family

about the role

in this role you will engage and connect with our customers by providing excellent customer service you will be an expert in product and use this expertise to educate inform inspire and outfit the customer you will offer information to the customer on current merchandise assortment store promotions and events and execute operational processes effectively and efficiently your goal is to bring our brand to life for our customers while building brand loyalty and delivering with productivity

what youll do
 acknowledge and assist customers locate merchandise efficiently using various methods answer questions quickly and accurately
 offer style and outfit suggestions to the customer utilizing mannequins and displays for inspiration
 promote loyalty by educating customers about our loyalty programs
 leverage omni channel offerings to deliver a frictionless customer experience
 support sales floor fitting room check out and back of house processes as required
 courteous and responsive to internalexternal request
 exchange and verifies job related information to provide support

who you are
 good communicator with the ability to utilize technology effectively and engage with customers and your team to meet goals
 problem solver with a focus on continuous improvement who is always learning open to feedback and takes action as required
 able to handle customer interactions and potential issuesconcerns courteously and professionally
 use basic informationgathering skills to solve problems
 ability to learn procedural knowledge acquired through on thejob training

benefits at old navy
 merchandise discount for our brands  off regularpriced merchandise at old navy gap banana republic and athleta and  off at outlet for all employees
 one of the most competitive paid time off plans in the industry
 employees can take up to five on the clock hours each month to volunteer at a charity of their choice
 extensive k plan with company matching for contributions up to four percent of an employees base pay
 employee stock purchase plan
 medical dental vision and life insurance
 see more of the benefits we offer
 for eligible employees

gap inc is an equalopportunity employer and is committed to providing a workplace free from harassment and discrimination we are committed to recruiting hiring training and promoting qualified people of all backgrounds and make all employment decisions without regard to any protected status we have received numerous awards for our longheld commitment to equality and will continue to foster a diverse and inclusive environment of belonging this year weve been named as one of the best places to work by the human rights campaign for the seventeenth consecutive year and have been included in the  bloomberg genderequality index for the fourth year in a row",Sales Associate - Sun Center,3427," {
  ""Core Responsibilities"": ""Acknowledge and assist customers, locate merchandise efficiently, answer questions, offer style suggestions, promote loyalty programs, support sales floor and back of house processes as required"",
  ""Required Skills"": ""Good communication skills, ability to utilize technology effectively, engage with customers and team, problem solving skills, focus on continuous improvement, ability to handle customer interactions professionally"", 
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""N/A"",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""Merchandise discount, paid time off, ability to volunteer, 401k matching, employee stock purchase plan, medical/dental/vision/life insurance""
}"
PetSmart,"retail sales associate

about our stores

working at petsmart is not a job its a community of those who work together for the love of pets as a petsmart sales associate you arent just selling products youre helping pet parents find the very best solutions for their pets with your passion for pets and our education youll become a trusted partner to the families at every stage of their pets lives with so many opportunities under one roof youll be sure to find a career path that inspires you

about our teams

in a store as big as ours we need all hands or paws wings fins whatever you have on deck to ensure we are operating efficiently our stores offer multiple shifts throughout the early morning day and evening hours so as a petsmart sales associate you may be crosstrained in the following areas
 customer service youll be an essential part of creating sincere connections with pet parents youll welcome them and their pets to the store facilitate an easy check out process as a cashier and ensure that they found everything they needed
 pet care youll ensure the safety of all living pets our storesincluding fish reptiles birds and small animals youll be their family until they get a family of their own youll help to keep them healthy clean and well fed youll also engage with pet parents to provide them with the best solutions specifically for their pets
 merchandising  inventory youll play an integral role in helping our pet parents find exactly what they need right when they need it youll execute on merchandising stocking and pricing strategies

about your career

and while were there for pets at every stage of their lives well be with you at every stage of your career with petsmart you will have opportunities to
 gain experience in a different business unitfrom the store to the salon or the pets hotel
 develop your leadership skills as a department or assistant manager role
 tackle the challenge of a new store opening
 transfer to any one of our  stores nationwide

the warm and fuzzies

weve highlighted job responsibilities as best as we could abovebut the best parts of working at petsmart cant be fully described in the job description
 its the excitement you feel when you help a little one pick out his very first fish and not just any goldfish but that one right there no not that one this one yea
 its the relief rosie feels when you help her mom select the best food for her upset tummy and her delight when it turns out to be chicken flavored
 its the pride of the giving mickey a makeover in our salons watching him strut his stuff on the way out paws off ladies hes taken
 its the joy of reuniting frankie with her family after a fun stay in our pets hotel
 its the celebration of bellas birthday gizmos graduation from puppy classes or aces adoption
 its the little things we do that add up to really big things that pets need

working at petsmart is not a job its a community of those who work together for the love of pets

apply now to experience a career that loves you back

this job summary is intended to describe the general nature and level of work associatesleaders assigned to this job perform it is not intended to include all duties and responsibilities you will be provided a copy of a job description for the actual position you are hired in to petsmart is an equal opportunity employer all qualified applicants will receive consideration for employment without regard to race color religion sex age national or ethnic origin disability as well as any other characteristic protected by federal provincial or local law

applicants must be over the age of  except in montana or where otherwise required by local or state law

for applicants in our waterloo san francisco or los angeles locations pursuant to the waterloo and san francisco fair chance ordinance as well as the los angeles fair chance initiative for hiring we will consider for employment qualified applicants with arrest and conviction records in a manner consistent with the law",Retail Sales Associate,4000," {
  ""Core Responsibilities"": ""Engaging with customers to provide solutions for their pets, cashiering, merchandising, inventory management, pet care"",
  ""Required Skills"": ""Customer service, cashiering, merchandising, inventory management, ability to care for animals"",
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""N/A"", 
  ""Preferred Qualifications"": ""Experience in retail or with animals/pets"",
  ""Compensation and Benefits"": ""N/A""
}"
Performance Columbus Auto Group,"at performance columbus family of dealerships contiues to expand

we have immediate full time opportunities for bdc service representatives at our performance columbus family of dealerships you will be working in an inboundoutbound call center that schedules appointments for our service departments

performance columbus family of dealerships is a leading automotive retailer with  automotive dealerships as well as a motorsports location if you consider yourself to be highly motivated friendly and career minded performance columbus is the team for you

apply now and make going to work fun again

employee benefits package
 top level compensation
 hsa  fsa health plan
 dental  vision plan
 short  long term disability
 life insurance
 company match retirement
 paid time off
 employee purchase program

the performance impact

exceptional
 team
 passion
 community

remembera smile changes the delivery of everything

if youre ready for a new and exciting change in your career take the first step and reach out today

as a performance columbus bdc representative you will
 answer inbound service calls professionally and schedule appointments
 generate appointments by means of incoming and outgoing calls no cold calling
 attract potential clients and retain current clientele by answering product and service questions received via phone andor internet
 contribute to high scores for the manufacturers customer satisfaction index csi
 check email frequently and respond to inquiries immediately
 meet and exceed goals each month and quarter
 handle customer complaints with integrity and poise
 make customer satisfaction number one

skills experience and educational qualifications
 proven customer service experience minimum  years
 demonstrate excellent phone and verbal communication skills
 experience with heavy inbound and outbound calls
 maintain an energetic positive attitude and work well with others
 organized efficient with an attention to detail
 high school diploma or ged
 valid drivers license with an acceptable driving record
 pass a pre  employment drug screening",Business Development Center Representative - Performance Columbus,2092," {
  ""Core Responsibilities"": ""Answering inbound service calls professionally and scheduling appointments, generating appointments by means of incoming and outgoing calls (no cold calling), attracting potential clients and retaining current clientele by answering product and service questions received via phone and/or internet, contributing to high scores for the manufacturers customer satisfaction index (CSI), checking email frequently and responding to inquiries immediately, meeting and exceeding goals each month and quarter, handling customer complaints with integrity and poise, making customer satisfaction number one."",
  ""Required Skills"": ""Proven customer service experience (minimum 1 years), demonstrated excellent phone and verbal communication skills, experience with heavy inbound and outbound calls, ability to maintain an energetic positive attitude and work well with others, organized and efficient with an attention to detail, high school diploma or GED, valid drivers license with an acceptable driving record, ability to pass a pre-employment drug screening"",
  ""Educational Requirements"": ""High school diploma or GED"",
  ""Experience Level"": ""Minimum 1 year of proven customer service experience"",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""Top level compensation, HSA/FSA health plan, dental/vision plan, short/long term disability, life insurance, company match retirement, paid time off, employee purchase program""
}"
coyote,wake up each day knowing that you are a part of something special something real something bold are you looking for a place where you will have a role in shaping an industry then its time for you to apply to join the pack a business development representative is responsible for selling and operating coyotes services to small and mediumsized customers they are to focus on selling coyotes services over the phone and through other forms of communication such as email business development representatives are responsible for prospecting communication quoting developing operating and maintaining their customer accounts daily tasks  responsibilities include but not limited to build maintain and grow customer relationships through cold calls and consistent communication research leads uncover needs and persuade decision makers to let coyote service their freight use creative and persistent methods to prospect and generate new business opportunities serve as a consultative resource to customers regarding service offerings market trends industry standards and effectively provide quotes considering all variable factors maintaining operational efficiencies for book of business through functions that include but are not limited to load building scheduling issue escalation and capacity securement work with carrier managers to secure best viable options calling carriers to get additional options and track when necessary understand digital platform services  modal diversity service offerings and effectively persuade customers to use effectively support teammates customers when they are out of office meet or exceed expected kpis essential skills characteristics  experience prior sales operations or customer service experience preferred strong negotiation skills  persuasiveness aggressiveness confidence efficient time management skills with the ability to recognize and prioritize profitable opportunities strong relationship building skills and the ability to be a team player while working independently effective and professional communication skills and strong customer service skills confident decisionmaking skills problem solving ability issue resolution skills entrepreneurial and competitive spirit passion selfmotivation organization and attention to detail adaptability multitasking ability sense of urgency persistence and resilience ability to maintain composure in stressful situations why coyote onsite training and ongoing career development competitive pay comprehensive benefits package internal advancement opportunities for high performers global opportunities casual dress  many perks diverse and inclusive environment opportunities to impact the world around you through our  sustainability initiatives important notice to us applicants coyote is an atwill employer we are an equal opportunity employer please view equal opportunity posters provided by the ofccp,Business Development Sales Representative - Columbus,2898," {
  ""Core Responsibilities"": ""Build, maintain and grow customer relationships through cold calls and consistent communication. Research leads, uncover needs and persuade decision makers to let Coyote service their freight. Use creative and persistent methods to prospect and generate new business opportunities. Serve as a consultative resource to customers regarding service offerings, market trends, industry standards and effectively provide quotes considering all variable factors. Maintaining operational efficiencies for book of business through functions that include but are not limited to load building, scheduling, issue escalation and capacity securement. Work with carrier managers to secure best viable options, calling carriers to get additional options and track when necessary."",
  ""Required Skills"": ""Prior sales, operations or customer service experience preferred. Strong negotiation skills & persuasiveness, aggressiveness, confidence. Efficient time management skills with the ability to recognize and prioritize profitable opportunities. Strong relationship building skills and the ability to be a team player while working independently. Effective and professional communication skills and strong customer service skills. Confident decision-making skills, problem solving ability, issue resolution skills. Entrepreneurial and competitive spirit, passion, self-motivation, organization and attention to detail. Adaptability, multitasking ability, sense of urgency, persistence and resilience. Ability to maintain composure in stressful situations."",  
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""Prior sales, operations or customer service experience preferred."",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""Competitive pay, comprehensive benefits package, internal advancement opportunities for high performers, global opportunities, casual dress & many perks, diverse and inclusive environment, opportunities to impact the world around you through our sustainability initiatives.""
}"
Performance Automotive,"at performance columbus family of dealerships contiues to expand

we have immediate full time opportunities for bdc service representatives at our performance columbus family of dealerships you will be working in an inboundoutbound call center that schedules appointments for our service departments

performance columbus family of dealerships is a leading automotive retailer with  automotive dealerships as well as a motorsports location if you consider yourself to be highly motivated friendly and career minded performance columbus is the team for you

apply now and make going to work fun again

employee benefits package
 top level compensation
 hsa  fsa health plan
 dental  vision plan
 short  long term disability
 life insurance
 company match retirement
 paid time off
 employee purchase program

the performance impact

exceptional  team  passion  community

remembera smile changes the delivery of everything

if youre ready for a new and exciting change in your career take the first step and reach out today

as a performance columbus bdc representative you will
 answer inbound service calls professionally and schedule appointments
 generate appointments by means of incoming and outgoing calls no cold calling
 attract potential clients and retain current clientele by answering product and service questions received via phone andor internet
 contribute to high scores for the manufacturers customer satisfaction index csi
 check email frequently and respond to inquiries immediately
 meet and exceed goals each month and quarter
 handle customer complaints with integrity and poise
 make customer satisfaction number one

skills experience and educational qualifications
 proven customer service experience minimum  years
 demonstrate excellent phone and verbal communication skills
 experience with heavy inbound and outbound calls
 maintain an energetic positive attitude and work well with others
 organized efficient with an attention to detail
 high school diploma or ged
 valid drivers license with an acceptable driving record
 pass a pre  employment drug screening",Business Development Center Representative - Performance Columbus,2092," {
  ""Core Responsibilities"": ""Answer inbound service calls professionally and schedule appointments; Generate appointments by means of incoming and outgoing calls (no cold calling); Attract potential clients and retain current clientele by answering product and service questions received via phone and/or internet; Contribute to high scores for the manufacturers customer satisfaction index (CSI); Check email frequently and respond to inquiries immediately; Meet and exceed goals each month and quarter; Handle customer complaints with integrity and poise; Make customer satisfaction number one"",
  ""Required Skills"": ""Proven customer service experience (minimum 2 years); Demonstrate excellent phone and verbal communication skills; Experience with heavy inbound and outbound calls; Maintain an energetic, positive attitude and work well with others; Organized, efficient with an attention to detail; High school diploma or GED; Valid driver's license with an acceptable driving record; Pass a pre-employment drug screening"",
  ""Educational Requirements"": ""High school diploma or GED"",
  ""Experience Level"": ""Minimum 2 years proven customer service experience"",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""N/A""
}"
Performance Columbus,"overview

at performance cadillac gmc we are expanding our sales team

performance cadillac gmc has grown tremendously over these past  months and we are looking for individuals to assist us with providing an exceptional experience for our customers we have immediate full time opportunities for bdc sales representatives

if you enjoy working with people in a fun and exciting enviroment that is low pressure assisting directly with their automotive needs in both new and preowned vehicles you should contact us now

call now 

performance columbus family of dealerships is a leading automotive retailer with  automotive dealerships as well as a motorsports location if you consider yourself to be highly motivated friendly and career minded performance cadillac gmc is the team for you

apply now and make going to work fun again

employee benefits package
 top level compensation
 hsa  fsa health plan
 dental  vision plan
 short  long term disability
 life insurance
 company match retirement
 paid time off
 employee purchase program

the performance impact

exceptional  team  passion  community

remembera smile changes the delivery of everything

if youre ready for a new and exciting change in your career take the first step and reach out today

responsibilities

as a performance bdc representative you will
 answer internet leads and website chats in a timely manner
 respond to customer inquiries efficiently via call text and email
 answer inbound sales calls professionally and assist customers in a friendly manner
 generate sales appointments by means of incoming and outgoing calls texts and emails
 maintain and communicate inventory and product knowledge
 execute timely followup schedule on all internet and phone leads
 check email frequently and respond to inquiries in a timely manner
 meet and exceed goals each month set by management

qualifications

skills experience and educational qualifications
 bdc sales experience preferred
 demonstrate excellent phone written and verbal communication skills
 ability to work efficiently in a fastpaced environment
 selfmotivated
 maintain an energetic positive attitude and work well with others in a teambased environment
 organized and efficient with attention to detail
 high school diploma or ged
 valid drivers license with an acceptable driving record
 pass a pre  employment drug screening",Business Development Center Representative - Performance Cadillac GMC,2366," {
  ""Core Responsibilities"": ""Answer internet leads and website chats in a timely manner. Respond to customer inquiries efficiently via call, text and email. Answer inbound sales calls professionally and assist customers in a friendly manner. Generate sales appointments by means of incoming and outgoing calls, texts and emails. Maintain and communicate inventory and product knowledge. Execute timely followup schedule on all internet and phone leads. Check email frequently and respond to inquiries in a timely manner. Meet and exceed goals each month set by management."",
  ""Required Skills"": ""BDC sales experience preferred. Demonstrate excellent phone, written and verbal communication skills. Ability to work efficiently in a fast-paced environment. Self-motivated. Maintain an energetic, positive attitude and work well with others in a team-based environment. Organized and efficient with attention to detail. High school diploma or GED. Valid driver's license with an acceptable driving record. Pass a pre-employment drug screening."",
  ""Educational Requirements"": ""High school diploma or GED"",
  ""Experience Level"": ""BDC sales experience preferred"",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""N/A""
}"
Acadia Healthcare," descriptionwe are looking to hire a business development representative for our team
 ohio hospital for psychiatry is centrally located in columbus ohio s state capital with approximately  counties surrounding the hospital from which referrals are made
 ohp is a bed freestanding behavioral health facility that provides a continuum of behavioral healthcare services for adults and senior adults
 purpose statementexpand lines of service as defined by management by developing and retaining referrals from physicians and other key nonphysician referral sourcesessential functions  collaborate closely with hospital discharge planners social workers case managers physicians and management as well as provide education staff to generate referral sources
  develop strong relationships with key referral sources
  identify opportunities for partnering and growth
  manage leads from referral sources and ensure efficient admissions process for clients
  increase the number of referral sources within a facility such as with physician social workers and discharge planners
  coordinate with clinical assessment team on referrals for admission based on the services provided by the facility
  educate patients families community and other referral sources on programs services and amenities provided within facility
  coordinate the completion of admission process and ensure appropriate resources are obtained
  travel frequently within community scheduling meetings and developing contactsreferral sources
  document referral sources within appropriate contact management system
  develop events and educational forums that demonstrate programs and provide an opportunity to identify potential referral sources
  maintain existing referral relationships
  utilize analytic tools such as salesforce to effectively plan and evaluate activity to optimize results
  represent facility in professional forums and communicate mission in all outreach interactions
  create outreach initiatives that will regularly communicate facility mission with referral sources through phone email eblast written notes events networking and other professional activities
  provide the facility or receiving team with appropriate information to facilitate admission when necessary
  create outreach initiatives that will ensure regular communication with top referral sources through phone email eblast written notes events networking and other professional activities
 other functions  perform other functions and tasks as assigned
 educationexperienceskill requirements high school diploma or equivalent required
 bachelors degree in marketing or related health or social services field preferred
  two or more years experience in sales andor marketing required
 licensesdesignationscertifications  must have and maintain a valid drivers license maintain automobile insurance coverage and have access to an automobile where facility requires
 benefitsohio hospital provides a comprehensive package of benefits for our staff including competitive hourly rates medical dental and vision insurance acadia healthcare k plan excellent training programs and professional growth opportunities that are second to none in the industry",Business Development Representative,3206," {
  ""Core Responsibilities"": ""Develop and retain referrals from physicians and other key nonphysician referral sources. Collaborate with hospital discharge planners, social workers, case managers, physicians and management to generate referrals. Manage leads and ensure efficient admissions process. Increase referral sources within facilities. Coordinate admissions based on services provided. Educate patients, families, community on programs and services."",
  ""Required Skills"": ""High school diploma or equivalent required. 2+ years experience in sales and/or marketing. Valid driver's license, auto insurance, and access to a car."",
  ""Educational Requirements"": ""High school diploma or equivalent required. Bachelor's degree in marketing or related field preferred."", 
  ""Experience Level"": ""2 or more years experience in sales and/or marketing required."",
  ""Preferred Qualifications"": ""Bachelor's degree in marketing or related health or social services field."",
  ""Compensation and Benefits"": ""Competitive hourly rates, medical/dental/vision insurance, 401k plan, training programs, professional growth opportunities.""
}"
Germain of Columbus,"why is a business development center representative so important
the way the car buying experience has evolved over the last few years has been dramatic most customers go online and inquire about a vehicle before stepping into a physical dealership it is our mission to provide customers the best online experience when shopping for a new vehicle once they make contact with us online thats where you come in it is your responsibility to professionally and politely answer customer questions and invite them to the dealership we believe that when we can provide a great experience for customers before they step foot in the door we are more likely to earn their business the bdc representative is experienced in giving exceptional customer service has the drive to earn unlimited income and wants to build a career working with exciting new products we look forward to talking with you the bdc representative responsibilities
responds to all internet leads and website live chatsassists customers by communicating via emailtextphone to answer questionssets solid appointments for sales consultants at the dealershipsfollows up with missed appointments to try to reschedule within  hoursrequirements
outgoing personality with expertise at developing relationships basic ms office knowledge computer software and internet proficiency excellent appearance verbalwritten communication strong negotiation and presentation skills prior auto sales experience is not required but may be a plus bilingualism is not required but can be very helpful valid ohio drivers license is required ability to pass preemployment testing to include background check drug test and motor vehicle report is required benefits overview germain of columbus is proud to offer the following benefits for our employees medical insurance dental insurance vision insurance  life insurance short and longterm disability insurance paid time off employee discounts state of the art technology",Automotive Business Development Center (BDC) Representative,1956," {
  ""Core Responsibilities"": ""Responds to all internet leads and website live chats. Assists customers by communicating via email, text, phone to answer questions. Sets solid appointments for sales consultants at the dealership. Follows up with missed appointments to try to reschedule within 24 hours."",
  ""Required Skills"": ""Outgoing personality with expertise at developing relationships. Basic MS Office knowledge. Computer software and internet proficiency. Excellent appearance, verbal/written communication, strong negotiation and presentation skills."", 
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""N/A"",
  ""Preferred Qualifications"": ""Prior auto sales experience is not required but may be a plus. Bilingualism is not required but can be very helpful."",
  ""Compensation and Benefits"": ""Medical insurance, dental insurance, vision insurance, life insurance, short and long-term disability insurance, paid time off, employee discounts, state of the art technology.""
}"
Alberta Health Services,"your opportunity

come join our ach emergency team and make a difference in the lives of alberta children and families at alberta childrens hospital reporting to the unit manager as the registered nurse rn you will work as an essential member of the alberta childrens hospital emergency department team caring for pediatric patients of varying acuity the rn participates in the assessment planning implementation and evaluation of care the emergency department is a dynamic and fastpaced environment the successful applicant must be able to demonstrate excellent interpersonal and communication skills as well as strong prioritization and assessment skills you will be accountable to the public for your own practice responsible for ensuring that your practice meets legislative requirements and the practice standards of the college and association of registered nurses alberta carna

description

as a registered nurse rn you will provide a wide variety of nursing services to patients families communities and populations while taking necessary steps to ensure their safety and wellbeing in your role you will utilize nursing processes through critical thinking problem solving and decision making as well as teach counsel and advocate on behalf of patients and their families you will play a leadership role in supporting an integrated and holistic approach to patient care health promotion and maintenance you will provide safe quality patient and family centered care while reflecting the shared vision and values of ahs

classification registered nurse union united nurses of alberta unit and program emergency department primary location alberta childrens hospital multisite at una only fte  posting end date jun temporary employee class temp pt benefits date available jun temporary end date aug hours per shift  length of shift in weeks  shifts per cycle  shift pattern evenings nights days off as per rotation minimum salary  maximum salary  vehicle requirement not applicable

required qualifications

completion of an accredited nursing education program active or eligible for registration and practice permit with the college of registered nurses of alberta crna current basic cardiac life support  health care provider bclshcp

additional required qualifications

minimum  years nursing experience obtained within the past  years minimum  months level  pediatric emergency department experience obtained in the last  years strong understanding of family centered care

preferred qualifications

bachelors degree in nursing one year pediatric experience obtained in the last  yrs one year emergency urgent care or critical care experience obtained in the last  yrs trauma triage charge experience current pals  acls within  yr current enpc  tncc within  yr accn certification current nvci training within  yr connect care superuser infocismasset training central line trained utd ace modules connect care trained",Registered Nurse,2927," {
  ""Core Responsibilities"": ""Provide nursing care to pediatric patients in the emergency department. Participate in assessment, planning, implementation and evaluation of patient care. Utilize nursing processes through critical thinking, problem solving and decision making. Teach, counsel and advocate for patients and families."",
  ""Required Skills"": ""Active registration with the College of Registered Nurses of Alberta (CRNA). Minimum 1 year nursing experience in the past 5 years. Minimum 6 months pediatric emergency department experience in the last 3 years. Basic cardiac life support certification."",  
  ""Educational Requirements"": ""Completion of an accredited nursing education program."",
  ""Experience Level"": ""Minimum 1 year nursing experience in the past 5 years. Minimum 6 months pediatric emergency department experience in the last 3 years."",
  ""Preferred Qualifications"": ""Bachelor's degree in nursing. 1 year pediatric experience in the last 5 years. 1 year emergency, urgent care or critical care experience in the last 5 years. Trauma triage, charge experience. Current PALS, ACLS, ENPC, TNCC certification. Current NVCI training. Connect Care superuser. Infocism asset training. Central line trained."",
  ""Compensation and Benefits"": ""N/A""
}"
"Express Employment Professionals - Red Deer, AB","the bilingual occupational registered nurse is a hybrid position who works as part of an interdisciplinary team to assist injured employees return to their preaccident jobs using best of practice process and protocols this position is ideal for a nurse who can consistently use a therapeutic relationship as basis for providing health recommendations to callers

requirements
 must demonstrate proven ability to communicate with patients in both english and french
 active carna license in with in good standing
 minimum of  years clinical nursing experience including  year in an acute care setting
 proficient computer aptitude and ms office skills
 can attend inperson meetings and work on site in calgary for  days a week option to work remote  days per week
 attention to detail
 focus on practical considerations
 measured thoughtful approach
 results oriented
 rapid and responsive approach
 readiness to cooperate with others
 readiness to trust and respect others
 subtlety and sensitivity
 this role will be based in calgary alberta

compensation annual compensation will range from  to  depending on applicant education experience credentials and performance a comprehensive benefits plan is available",Bilingual Occupational Registered Nurse,1212," {
  ""Core Responsibilities"": ""Assist injured employees return to their preaccident jobs using best of practice process and protocols. Communicate with patients in both English and French."",
  ""Required Skills"": ""Active CARNA license in good standing. Minimum of 3 years clinical nursing experience including 1 year in an acute care setting. Proficient computer aptitude and MS Office skills."",
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""Minimum of 3 years clinical nursing experience including 1 year in an acute care setting"",
  ""Preferred Qualifications"": ""Subtlety and sensitivity. Readiness to cooperate with others. Readiness to trust and respect others."",
  ""Compensation and Benefits"": ""Annual compensation will range from $80,000 to $100,000 depending on applicant education, experience, credentials and performance. A comprehensive benefits plan is available.""
}"
